"id","feuchtigkeitswert","messzeitpunkt","temperatur"
1387,"52.00","2024-02-14 17:26:39.164256+00","20.00"
1388,"52.00","2024-02-14 17:36:39.24469+00","20.00"
1389,"99.00","2024-02-14 17:56:02.926606+00","20.00"
1390,"99.00","2024-02-14 18:06:05.058526+00","20.00"
1391,"99.00","2024-02-14 18:26:02.915366+00","20.00"
1392,"99.00","2024-02-14 18:36:02.772597+00","20.00"
1393,"99.00","2024-02-14 18:46:03.742168+00","20.00"
1394,"96.00","2024-02-14 18:56:02.940041+00","20.00"
1395,"94.00","2024-02-14 19:06:02.869225+00","20.00"
1396,"94.00","2024-02-14 19:26:06.161807+00","20.00"
1397,"93.00","2024-02-14 19:56:03.589299+00","20.00"
1398,"94.00","2024-02-14 20:06:05.889801+00","20.00"
1399,"93.00","2024-02-14 20:16:07.006641+00","20.00"
1400,"93.00","2024-02-14 20:26:05.393123+00","20.00"
1401,"91.00","2024-02-15 07:28:19.237198+00","20.00"
1402,"90.00","2024-02-15 07:38:18.538266+00","20.00"
1403,"91.00","2024-02-15 07:48:18.53834+00","20.00"
1404,"91.00","2024-02-15 07:58:18.420551+00","20.00"
1405,"91.00","2024-02-15 08:08:18.517685+00","20.00"
1406,"90.00","2024-02-15 08:18:18.46786+00","20.00"
1407,"91.00","2024-02-15 08:28:18.322649+00","20.00"
1408,"91.00","2024-02-15 08:38:18.443194+00","20.00"
1409,"90.00","2024-02-15 08:48:18.454878+00","20.00"
1410,"89.00","2024-02-15 08:58:18.370953+00","20.00"
1411,"90.00","2024-02-15 09:08:18.416277+00","20.00"
1412,"90.00","2024-02-15 09:18:18.248363+00","20.00"
1413,"91.00","2024-02-15 09:28:18.363614+00","20.00"
1414,"91.00","2024-02-15 09:38:18.204526+00","20.00"
